"id","id_model","prevozeni_kilometri","gorivo","velikost_motorja","kW","cena","zacetna_cena"
251,60,25235,"diesel",1685,85,16999,12749
252,60,45110,"bencinski",1591,97,18999,14249
253,62,109400,"diesel",1582,94,8999,6749
254,60,24855,"diesel",1685,85,20960,15720
255,62,203000,"bencinski",1396,66,3750,2812
256,63,115000,"bencinski",1396,66,4300,3225
257,62,61000,"bencinski",1368,74,10699,8024
258,63,51000,"diesel",1582,94,10999,8249
259,60,57555,"diesel",1685,85,14299,10724
260,62,193500,"diesel",1991,103,3690,2768
261,60,149000,"diesel",1685,85,10550,7912
262,62,109150,"diesel",1582,94,8490,6368
263,60,119335,"bencinski",1591,99,10999,8249
264,61,130720,"diesel",1396,66,6999,5249
265,67,15350,"bencinski",1368,73,17999,13499
266,62,43211,"bencinski",1368,74,10490,7868
267,62,132000,"bencinski",1591,92,3999,2999
268,68,64321,"diesel",1950,110,34990,26242
269,69,230000,"bencinski",3199,165,6500,4875
270,70,212700,"diesel",2987,165,15800,11850
271,68,118953,"diesel",2143,150,22990,17242
272,70,224000,"diesel",2987,165,9900,7425
273,71,156000,"diesel",2143,100,11550,8662
274,72,175000,"diesel",1991,80,3500,2625
275,68,126547,"diesel",2143,150,22499,16874
276,69,415515,"diesel",2987,173,13900,10425
277,71,116715,"diesel",2143,125,20000,15000
278,71,134000,"bencinski",1796,90,5490,4118
279,68,370000,"diesel",2685,125,1290,968
280,73,6600,"bencinski",1595,90,28200,21150
281,68,248000,"diesel",2700,130,6900,5175
282,68,380000,"diesel",2148,125,5300,3975
283,68,134000,"diesel",2143,125,24400,18300
284,71,224400,"diesel",2143,100,7980,5985
285,71,144000,"diesel",2143,150,26850,20138
286,69,266265,"diesel",2987,173,12765,9574
287,74,90000,"bencinski",3498,200,25500,19125
288,71,143679,"diesel",2143,100,15500,11625
289,71,172344,"bencinski",1796,120,4199,3149
290,71,230000,"diesel",2143,125,10990,8242
291,71,270127,"diesel",2148,105,3490,2618
292,71,35200,"bencinski",1595,115,19990,14992
293,68,259000,"diesel",2987,165,7950,5962
294,71,94523,"diesel",2143,125,21990,16492
295,71,153962,"diesel",2143,125,24985,18739
296,68,16000,"bencinski",1991,135,41500,31125
297,71,185700,"diesel",2143,125,20990,15742
298,75,269740,"diesel",2987,140,8750,6562
299,76,192144,"diesel",1991,80,5990,4492
300,71,240000,"diesel",2148,110,4190,3142
301,68,178448,"diesel",2143,150,24990,18742
